Log 2 Ratio RNA Protrusion/Body_1,Log 2 Ratio RNA Protrusion/Body_2,ENSG,Gene name,Protein name,Uniprot
2.16437,2.29,ENSG00000172428,MYEOV2,Myeloma-overexpressed gene 2 protein,B7WNR6;Q8N110;Q8WXC6
1.72787,2.28163,ENSG00000243147,MRPL33,"39S ribosomal protein L33, mitochondrial",A8MRB0;D3YTI5;O75394;Q53RZ6;Q5FVE3;Q96Q50
2.28459,2.27958,ENSG00000104131,EIF3J,Eukaryotic translation initiation factor 3 subunit J,B4DUI3;O75822;Q9BUD2;Q9H8Q2;Q9UI65
1.22371,2.27897,ENSG00000149531,FRG1B,Protein FRG1B,C4AME5;Q9BZ01
2.24111,2.27707,ENSG00000111229,ARPC3,Actin-related protein 2/3 complex subunit 3,B2R4D5;C9JZD1;O00554;O15145;Q2LE71
1.74713,2.25458,ENSG00000213585,VDAC1,Voltage-dependent anion-selective channel protein 1,B3KTS5;B3KVK4;B4DEI3;C9JI87;P21796;Q5FVE7;Q9UIQ5;Q9UPL0
2.03332,2.25085,ENSG00000125691,Rpl23;RPL23,60S ribosomal protein L23,B9ZVP7;C9JD32;P23131;P24048;P62829;Q29246;Q3SWV7;Q6P5S1;Q9BTQ7
2.16938,2.24743,ENSG00000198695,MT-ND6;NADH6;ND6,NADH-ubiquinone oxidoreductase chain 6,A0S9S4;A1DUW2;A1DVF7;A1DVP8;A4ZMD8;A6YWD9;A6YX87;A6YXB3;A6YXL7;A6YZJ2;A6Z1T4;A6Z8R1;A6ZBM4;A6ZDH3;A6ZHQ4;A7LE18;A7LER5;A7XTS4;A8R1N6;B0Z776;B1PIK4;B1W9K7;B2D3W3;B2D5P9;B2XHG7;B2XQV4;B2Y8L1;B2YBG2;B3VLA5;B4YBV7;B4YG26;B8R3C2;B8RC54;B9ECT7;B9EEZ1;C7B3B7;C8XV66;C8XWK4;C8YA62;C8YC64;C8YCT5;C8YF93;C9D643;P03923;Q0G8P9;Q0ZEY1;Q20CU2;Q2HLE2;Q305R6;Q305V5;Q305Y1;Q34774;Q4EWR6;Q4F0B4;Q4F0F3;Q4F290;Q4F3Y8;Q4F4M2;Q4F4P8;Q4F694;Q4G7B0;Q4GE26;Q4GIS7;Q4GLZ5;Q4GN61;Q4GQW0;Q4GSE3;Q4ZEJ2;Q541N0;Q5S9S1;Q5XRI0;Q5XRX3;Q6RMK3;Q6RR68;Q6RRL4;Q6RRP1;Q6VII9;Q6VKJ8;Q6VLM1;Q6XBB9;Q6XBD3;Q7GRU6;Q7GWZ6;Q7GXW8;Q7GXZ1;Q7Y668;Q7YCC3;Q7YCE9;Q7YEG7;Q85KV0;Q85KV9;Q85KZ7;Q8HAX7;Q8HAZ5;Q8HG29;Q8HG30;Q8HG31;Q8WCX7;Q9B0M9;Q9B1K4;Q9B2U4;Q9B2Y0;Q9B302
1.96322,2.24739,ENSG00000221887,HMSD,Serpin-like protein HMSD,A8MTL9
2.92281,2.23601,ENSG00000165775,FUNDC2,FUN14 domain-containing protein 2,B2R7W5;B5ME03;Q5HYP8;Q8NHX8;Q9BWH2;Q9H2I6
1.82819,2.23286,ENSG00000070831,CDC42,Cell division control protein 42 homolog,B4DMH5;B7ZAY4;P21181;P25763;P60953;Q5JYX0;Q7L8R5;Q9UDI2;Q9UJM0;Q9UJM1
2.65433,2.23092,ENSG00000135245,HILPDA,Hypoxia-inducible lipid droplet-associated protein,A4D0Z5;Q52LY5;Q53HJ7;Q9Y5L2
1.37367,2.22624,ENSG00000186132,C2orf76,UPF0538 protein C2orf76,B7ZLS8;C9JTA8;Q3KRA6;Q4VC35
2.25693,2.22124,ENSG00000125868,DSTN,Destrin,B2R6N2;B4DYA6;B7Z9M9;P18282;P60981;Q5W166;Q6IAW2
2.28689,2.22055,ENSG00000233927,Rps28;RPS28,40S ribosomal protein S28,B2R4R9;B4DEI1;B4DWQ7;P25112;P62857
1.50053,2.21967,ENSG00000163993,S100P,Protein S100-P,P25815;Q5J7W2
2.37758,2.21467,ENSG00000198888,MT-ND1;NADH1;ND1;ROPN1B,NADH-ubiquinone oxidoreductase chain 1,A0S2L2;A0S2N8;A0S3S8;A0S8J7;A0SBM6;A1DV55;A1DVR3;A1DVT9;A1E1U4;A1Z4F6;A1Z4Y8;A3FP01;A4GWV7;A4ZKS2;A4ZLE3;A4ZLF6;A4ZLU9;A4ZM25;A4ZM51;A4ZMC7;A4ZMF3;A4ZML8;A4ZYI1;A4ZYM0;A6YUP6;A6YVW1;A6YWL9;A6YXE1;A6YXP5;A6YYY6;A6YZB6;A6YZM0;A6Z2S4;A6Z5I3;A6Z693;A6Z6J7;A6Z7M3;A6Z9A8;A6ZC19;A6ZEK0;A6ZF31;A6ZG45;A6ZGJ8;A6ZHG8;A6ZHP3;A6ZHR8;A6ZHX0;A7LP59;A7XSP6;A8DBG1;A8QJM2;A8WDQ6;B0Z6P6;B1NUK4;B1NUN0;B1NVL8;B1PZ98;B2D481;B2KLP9;B2KMN7;B2XGX5;B2XIR0;B2XK13;B2XL01;B2XLD1;B2XMJ6;B2XN53;B2XQK2;B2Y8W7;B2YB73;B3VSQ8;B5M8F3;B6V2F8;B7TD27;B7UCG0;B8RBW5;B8X582;B8X5J9;C0JKH6;C3W5L0;C4PK89;C4PKA2;C5MM18;C5MN58;C5MN97;C7AAW5;C7AB04;C7DRQ5;C8XVJ2;C8XZ40;C8XZ66;C8Y2D4;C8Y6L6;C8YBG9;C8YGM6;C8YI07;C9D531;C9D596;P03886;Q0G892;Q0Z7F4;Q0Z7G7;Q0Z7R5;Q0ZEM5;Q14WI3;Q15IG8;Q27H09;Q27H48;Q27H87;Q2HJV5;Q2HK80;Q2HKM8;Q305D4;Q305V3;Q37523;Q3S9I4;Q4EX05;Q4EYR6;Q4EZ33;Q4F1A0;Q4F2Q7;Q4F4Q9;Q4F5W2;Q4F666;Q4F6A5;Q4G8K0;Q4GCG5;Q4GCQ6;Q4GE89;Q4GEQ8;Q4GHJ6;Q4GHR1;Q4GIA6;Q4GL31;Q4GNP1;Q4GNU3;Q4GPH7;Q4GRH9;Q4GUE3;Q4GWF8;Q4R1L7;Q4VGD7;Q4ZET1;Q5Q5I7;Q5Q5V5;Q5Q607;Q5Q6L9;Q5Q6M9;Q5Q6N2;Q5Q736;Q5Q757;Q5S8Q5;Q5S8V7;Q5S8X0;Q5S948;Q5S9D9;Q5S9G5;Q5S9J1;Q5SAJ2;Q5XRB3;Q5XRR9;Q6R0U6;Q6R0X2;Q6RR12;Q6RR39;Q6RR93;Q6RRM1;Q6VH72;Q6VIF0;Q6WQ94;Q7GMM1;Q7GSA6;Q7GXZ0;Q7Y7U2;Q7YCD0;Q7YCD2;Q7YCD4;Q7YCF4;Q7YCG9;Q7YED6;Q7YEF7;Q7YEG1;Q85BK7;Q85KT1;Q85KT8;Q85KU3;Q85KU5;Q85KV6;Q85KV8;Q85KW9;Q85KX9;Q85KZ5;Q85L02;Q85L07;Q8HHH1;Q8HHH2;Q8HHH3;Q8HHH4;Q8W9B1;Q8WCX2;Q8WCX9;Q94P91;Q9B1L5;Q9B1M4;Q9B2U3;Q9B2V7;Q9B2X4;Q9B2X5;Q9B2Y9
1.93224,2.21414,ENSG00000218739,hCG_1988162,,A8MTT3;A8MUR5
1.67041,2.20613,ENSG00000109536,FRG1,Protein FRG1,A8K775;Q14331
2.23086,2.20247,ENSG00000116030,SUMO1,Small ubiquitin-related modifier 1,A8MUS8;B2R4I5;B8ZZ67;B8ZZJ0;B8ZZN6;B9A032;C9J6M7;P55856;P63165;Q6FGG0;Q6NZ62;Q93068
2.10956,2.19256,ENSG00000156482,RPL30,60S ribosomal protein L30,B2R591;P04645;P62888;Q502Z6
0.76232,2.18909,ENSG00000089123,TASP1,Threonine aspartase 1;Threonine aspartase subunit alpha;Threonine aspartase subunit beta,Q5JWM4;Q5TDU9;Q9BQN0;Q9H6P5;Q9NQ08;Q9NTS6;Q9NXJ2
1.4049,2.18206,ENSG00000180408,C4orf52,Small integral membrane protein 20,C9JYT8;Q8N5G0;Q9BRT5
1.97082,2.18182,ENSG00000089063,C20orf30,Transmembrane protein 230,B2RDM8;Q0VGC8;Q5JWB9;Q5TDS5;Q96A57;Q96ES2;Q9P0A7
2.50942,2.17684,ENSG00000173221,GLRX,Glutaredoxin-1,B2R4L2;P35754;Q3KQS1;Q6ICT1
2.50487,2.17388,ENSG00000182004,SNRPE,Small nuclear ribonucleoprotein E,A6NHK2;B2R5B9;P08578;P62304;Q15498;Q5BKT2
2.68759,2.16187,ENSG00000161970,Rpl26;RPL26,60S ribosomal protein L26,A6NE05;B2R4F0;P61254;Q02877;Q6IBH6;Q6IPY2
2.41184,2.1583,ENSG00000214194,,Putative transmembrane protein LOC401397,A4D0T7;C9IZ59;Q32Q38
2.33672,2.14515,ENSG00000198763,clone 82-2;MT-ND2;NADH2;ND2,NADH-ubiquinone oxidoreductase chain 2,A0S231;A0S244;A0S296;A1DTN1;A1E1D9;A1E1P3;A1Z593;A4ZKY8;A4ZL79;A4ZLF7;A4ZLH0;A4ZLR1;A6YUF6;A6YZ26;A6Z529;A6Z655;A6Z7V2;A6Z8H3;A6Z9Z3;A6ZAC3;A6ZCL4;A6ZFB0;A6ZFE9;A6ZGG3;A6ZGN8;A6ZH05;A6ZH82;A6ZHD2;A7IZ41;A7LD85;A7LDG3;A7LE21;A8JN25;A8QT63;A8WEK0;B0Z714;B0Z740;B1NU62;B1PIN3;B1W713;B2CB48;B2CB87;B2D3M4;B2D4I5;B2KLI5;B2WRN2;B2XHY9;B2XIH0;B2XJF7;B2XL67;B2YB74;B4YDJ2;B4YDS0;B5M8B5;B5M8N2;B8X4J9;B8X5K0;B8XYF4;B9EDU1;C6JWH4;C7B303;C7B3J8;C7B3M4;C7SDU3;C7SK84;C8XUZ8;C8Y0I5;C8Y0L1;C8Y7E0;C8Y850;C8Y977;C8YAY8;C8YBX6;C8YC28;C8YGV5;C9D4Z3;O78759;P03891;Q0VWP6;Q0Z7S2;Q0ZFJ9;Q14WT3;Q14X33;Q15GW0;Q15GZ9;Q15H38;Q15IQ8;Q27H21;Q2HJR5;Q2HJS8;Q2HK51;Q2HKW8;Q2LHB3;Q2LHC6;Q305C0;Q305D3;Q305J8;Q305R3;Q305V2;Q305W5;Q306D0;Q34769;Q36733;Q4EWE6;Q4EWN7;Q4EWR3;Q4F1T1;Q4F2J1;Q4F2L7;Q4F2Q6;Q4F4F4;Q4F4T6;Q4F5C9;Q4F5N3;Q4F5S2;Q4F5W1;Q4G6W4;Q4G6Z0;Q4G716;Q4G830;Q4G8X9;Q4GA32;Q4GC21;Q4GE88;Q4GEA1;Q4GJJ7;Q4GJS5;Q4GLJ9;Q4GM05;Q4GPI9;Q4GQH7;Q4GQK3;Q4GRX1;Q4GUI1;Q4GUY7;Q4GW79;Q4VFB0;Q4VFQ5;Q4VFX7;Q4ZEF0;Q4ZEH6;Q4ZFH7;Q5Q3N7;Q5Q3P5;Q5Q467;Q5Q4X1;Q5Q5D4;Q5S8T0;Q5S8V6;Q5S9M9;Q5S9Q5;Q5SAC6;Q5XTG6;Q6RME0;Q6RMP3;Q6RN54;Q6RN84;Q6RPH6;Q6RRL1;Q6VHR5;Q6VIF8;Q6VL12;Q6WQ54;Q7GHE2;Q7GM50;Q7GMR7;Q7GN52;Q7GXY9;Q7Y6G2;Q7YCE4;Q7YCF2;Q7YCG4;Q7YED5;Q7YEE3;Q7YEE4;Q7YEE8;Q7YEG0;Q7YEG5;Q7YEH3;Q85KS6;Q85KS9;Q85KU4;Q85KW6;Q85KY7;Q85KY9;Q85L01;Q8HB65;Q8HG14;Q8HG15;Q8HG16;Q8HG17;Q8WCW8;Q8WCX4;Q8WCY6;Q9B0T5;Q9B186;Q9B1Q7;Q9B2W4;Q9B2X3;Q9B2Y6;Q9B2Y8;Q9B2Z3;Q9B2Z6;Q9B2Z8;Q9T3Q5;Q9TGI0;Q9TGI1;Q9TGI2;Q9TGI3;Q9TGI4
2.60821,2.14001,ENSG00000203724,C1orf53,Uncharacterized protein C1orf53,A1L4N2;Q5VUE4;Q5VUE5
0.87394,2.13617,ENSG00000166352,C11orf74,Uncharacterized protein C11orf74,A8K468;B4DSA3;B4DYW4;Q86VG3;Q96DD6
2.10158,2.11974,ENSG00000138675,FGF5,Fibroblast growth factor 5,B2R554;O75846;P12034;Q3Y8M3;Q60518;Q6A549;Q8NBG6;Q8NF90
2.22953,2.11773,ENSG00000188243,COMMD6,COMM domain-containing protein 6,A6NF28;B0QZ40;B7ZLN0;Q5TBK4;Q7Z4G1
1.9943,2.11738,ENSG00000130255,RPL36,60S ribosomal protein L36,B2R4Y1;Q6FIG1;Q9BYF3;Q9UQF6;Q9Y3U8
1.92636,2.11462,ENSG00000177576,C18orf32,UPF0729 protein C18orf32,Q8TCD1
1.97949,2.11375,ENSG00000198258,UBL5,Ubiquitin-like protein 5,B2R4N3;Q2NL89;Q9BZL1
1.67111,2.1114,ENSG00000197780,TAF13,Transcription initiation factor TFIID subunit 13,B2R5E5;Q0VA92;Q15543;Q5TYV6
0.41278,2.11055,ENSG00000155542,C5orf35,SET domain-containing protein 9,C9J935;Q8NE22
1.67187,2.1101,ENSG00000140307,GTF2A2,Transcription initiation factor IIA subunit 2,A8MYQ7;A8MYR4;B2R506;P52657;Q6FGB5
2.09803,2.10904,ENSG00000179046,FLJ25801;TRIML2,Probable E3 ubiquitin-protein ligase TRIML2,Q6T5J5;Q8N7C3
1.83668,2.10306,ENSG00000120860,CCDC53,WASH complex subunit CCDC53,B2RC74;Q53FF0;Q6IAI4;Q96QK0;Q9Y3C0
2.01684,2.09848,ENSG00000188612,Sumo2;SUMO2,Small ubiquitin-related modifier 2,B2R4I2;P55855;P61956;Q32Q42;Q6IPZ6;Q96HK1
1.10123,2.09783,ENSG00000106355,LSM5,U6 snRNA-associated Sm-like protein LSm5,B8ZZF8;Q9Y4Y9
2.25542,2.09354,ENSG00000087086,FTL,Ferritin;Ferritin light chain,B1Q387;B1Q3B3;B2R4B9;O00563;P02792;Q4FCH6;Q6DMM8;Q6IBT7;Q6S4P3;Q7Z2W1;Q86WI9;Q8WU07;Q96AU9;Q96CU0;Q9BTZ8
1.9574,2.09183,ENSG00000081154,PCNP,PEST proteolytic signal-containing nuclear protein,B2RBE7;Q53GF3;Q6AI44;Q8WW12;Q96CU3;Q9NS81
1.88788,2.08857,ENSG00000104756,KCTD9,BTB/POZ domain-containing protein KCTD9,B4DPW0;Q6NUM8;Q7L273;Q9NXV4
1.94687,2.08645,ENSG00000197956,S100A6,Protein S100-A6,B2R577;P06703;Q5RHS4
2.00297,2.08586,ENSG00000186468,Rps23;RPS23,40S ribosomal protein S23,A8K517;P39028;P62266;Q6IB08
-0.47345,2.08572,ENSG00000001631,CCM1;KRIT1,Krev interaction trapped protein 1,A4D1F7;A6NNU0;C9J3W7;C9J684;C9J718;C9JBN7;C9JD43;C9JD81;C9JEW7;C9JF32;C9JI47;C9JIY2;C9JJM9;C9JSG7;C9JXI9;O00522;O43894;Q506L6;Q6U276;Q75N19;Q9H180;Q9H264;Q9HAX5
1.98552,2.08556,ENSG00000203668,CHML,Rab proteins geranylgeranyltransferase component A 2,B2RAB9;P26374;Q17RE0;Q9H1Y4
1.90888,2.08313,ENSG00000139211,AMIGO2,Amphoterin-induced protein 2,B3KRK1;B3KS95;Q4VBP6;Q7Z4A0;Q86SJ2;Q96CN8
2.29733,2.07817,ENSG00000153363,LINC00467,Putative uncharacterized protein encoded by LINC00467,A6NKU7;A8MQ71;Q9BRT7
2.11225,2.07677,ENSG00000188846,RPL14,60S ribosomal protein L14,A0PJ62;A8K3Q9;A8K7N0;B7Z6S8;P50914;Q45RF0;Q53G20;Q6IPH7;Q8TBD5;Q8WUT0;Q92579;Q96GR0;Q9BSB8;Q9BW65;Q9BYF6
1.42913,2.0729,ENSG00000197903,H2BFS;HIST1H2BC;HIST1H2BK,Histone H2B type 1-C/E/F/G/I;Histone H2B type 1-K;Histone H2B type F-S,A0AVF9;A8K7P7;O60814;P02278;P57053;P62807;Q2VPI7;Q3B872;Q4VB69;Q5R2W0;Q93078;Q93080
2.22982,2.07035,ENSG00000171865,RNASEH1,Ribonuclease H1,B3KQU4;B3KUD4;O60523;O60857;O60930;Q57Z93;Q5U0C1;Q6FHD4
1.52548,2.06251,ENSG00000156467,UQCRB,Cytochrome b-c1 complex subunit 7,B2R4A2;P14927;Q6FGD1
1.03285,2.05827,ENSG00000066427,ATXN3,Ataxin-3,A7LFZ5;C9JQV6;O15284;O15285;O15286;P54252;Q4VBR4;Q59G00;Q8N189;Q96TC3;Q96TC4;Q9H3N0
0.314992,2.05306,ENSG00000118242,MREG,Melanoregulin,C9JAG4;C9JFU1;C9JYV9;Q53R89;Q53TC1;Q5XKB6;Q8N565;Q9NWC9;Q9P1S1
1.64813,2.05098,ENSG00000107020,C9orf46,Plasminogen receptor (KT),B2R6W0;Q9HBL7;Q9NZ44
2.01556,2.04936,ENSG00000139146,FAM60A,Protein FAM60A,B7Z287;Q9BSZ8;Q9NP50
1.6086,2.0454,ENSG00000145781,COMMD10,COMM domain-containing protein 10,Q9P077;Q9Y6G5
1.67424,2.04118,ENSG00000131016,AKAP12;DKFZp686M0430,A-kinase anchor protein 12,A6NEC7;O00310;O00498;Q02952;Q4LE68;Q5CZB5;Q5SZ80;Q5TGN1;Q68D82;Q6NSG9;Q86TJ9;Q99970
1.49703,2.03804,ENSG00000056050,C4orf27,UPF0609 protein C4orf27,Q9NWY4
2.28229,2.03705,ENSG00000127324,TSPAN8,Tetraspanin-8,B2R7T7;P19075;Q53GA9;Q9BS78
2.0473,2.03663,ENSG00000109083,IFT20,Intraflagellar transport protein 20 homolog,Q5GLZ2;Q8IY31;Q9BUG5
2.0515,2.03645,ENSG00000151239,TWF1,Twinfilin-1,A8K5A8;B3KXS6;B4DLX9;Q12792;Q59G07;Q5U0B1;Q6FHJ1;Q6FHL6;Q6NUK9;Q86XL6;Q8TCD3
1.80555,2.03348,ENSG00000135070,HBLD2;ISCA1,"Iron-sulfur cluster assembly 1 homolog, mitochondrial",B3KP34;B4DJI5;Q5TBE2;Q5TBE9;Q8ND75;Q9BUE6;Q9BZR2
2.01463,2.02982,ENSG00000121089,,,A6NNW5
2.16377,2.02909,ENSG00000065518,NDUFB4,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4,B2RUY3;B9EJC7;C9JXQ9;O95168
1.92212,2.02879,ENSG00000085231,TAF9,Transcription initiation factor TFIID subunit 9,Q16594;Q5U0D1;Q9BTS1
2.217,2.02665,ENSG00000104324,PGCP,Carboxypeptidase Q,B2RD88;B4E1W2;B5MDX4;Q8NBZ1;Q9UNM8;Q9Y5X6;Q9Y646
1.58766,2.02291,ENSG00000169020,ATP5I,"ATP synthase subunit e, mitochondrial",P56385;Q0D2L9
2.10881,2.01984,ENSG00000198727,CYB;cytb;cytB;Cytb;CytB;CYTB;MT-CYB,Cytochrome b,A0JI59;A0S2J8;A0S330;A0S3I6;A0S4I7;A0S4R5;A0S9T8;A0SAT9;A0SB69;A0SBS7;A0SBW6;A0SC83;A0SCE8;A0SCZ3;A1DT08;A1DT60;A1DT73;A1DT86;A1DTD8;A1DTL6;A1DUW3;A1DV02;A1E1L5;A1E221;A1Z412;A1Z4B6;A1Z552;A1Z565;A1Z5D0;A4GWW9;A4UVG7;A4UVJ5;A4ZKW0;A4ZKZ9;A4ZL12;A4ZL38;A4ZLB6;A4ZLC9;A4ZLE2;A4ZLF5;A4ZLG8;A4ZLI1;A4ZLM0;A4ZLP6;A4ZMC6;A4ZMX1;A4ZMZ7;A4ZYF4;A6YTJ2;A6YV64;A6YVI1;A6YVN3;A6YW38;A6YWC7;A6YWG6;A6YWY5;A6YY11;A6YY37;A6YYH9;A6YYU6;A6YZ50;A6YZL9;A6Z025;A6Z0Q9;A6Z0Y7;A6Z1U8;A6Z2P7;A6Z2W2;A6Z2Y8;A6Z4Y8;A6Z6A5;A6Z8I4;A6Z903;A6Z9H2;A6Z9Z1;A6ZA95;A6ZAN7;A6ZB95;A6ZC44;A6ZCE8;A6ZDE8;A6ZDK0;A6ZEQ1;A6ZF82;A6ZFI6;A6ZFL2;A6ZFQ1;A6ZGR2;A6ZGZ0;A6ZH67;A6ZHB8;A6ZHE2;A6ZHG7;A6ZHY2;A7IZ65;A7LDE8;A7LEI8;A7LPC5;A7XSF7;A7XSL3;A7XT66;A7XT95;A7XTP7;A7XTV3;A7XTX6;A7XU66;A7Y9X0;A7YA93;A8DIL7;A8JL43;A8JLE7;A8JMK3;A8JN36;A8QJP7;A9QXT2;A9UJA1;B0EW43;B0FZC1;B1W6T3;B1W913;B1W926;B1W9N4;B1WA27;B2CB33;B2D3N5;B2D597;B2D5J6;B2D647;B2KLF7;B2KLH0;B2KLH3;B2KLR1;B2KLW3;B2XF03;B2XGQ9;B2XGU8;B2XGY7;B2XH13;B2XHJ4;B2XHT5;B2XI26;B2XI38;B2XJP6;B2XKA3;B2XKB6;B2XKE2;B2XLB7;B2XLJ5;B2XMA4;B2XMD0;B2XMS3;B2XN13;B2XNG6;B2XPV8;B2XQ22;B2XQU2;B2Y8L2;B2Y8N8;B2YAP0;B2Z4H6;B2Z573;B2ZUL3;B2ZUZ4;B2ZW21;B3DDK9;B3DEV1;B3GTF4;B4YC62;B4YD74;B4YDT0;B4YGJ6;B4YH93;B5B0I2;B5B695;B5LMK0;B5M7J0;B5M7X0;B5U6B0;B6RGH2;B7TCQ9;B7TNT0;B7TNY2;B7U857;B7U870;B7ZIW0;B7ZJ12;B8R3C3;B8RF24;B8RFE1;B8RFN2;B8RFZ9;B8X480;B8X4L0;B8X617;B8X669;B8X6H3;B8XZC7;B8YQL0;B9ECT8;B9ECW4;B9ED81;B9EDR3;B9EE04;B9EEA8;B9EF31;B9EFL3;B9EFR5;B9EFS8;B9EFW7;C1IF78;C1KR23;C3W5D6;C3W5M2;C4PK48;C4PKA1;C4PKX8;C4RT29;C7AB29;C7B2P7;C7B2W2;C7B379;C7B3D1;C7B3R1;C7B3Y8;C7FH94;C7SDW7;C7SJS6;C7SJV2;C7SK69;C7SK95;C7SL96;C8XV35;C8XV61;C8XX76;C8Y092;C8Y0Y9;C8Y747;C8YAU7;C8YC39;C8YCJ5;C8YCN4;C8YCX5;C8YG56;C8YGU0;C8YID6;C9D4X8;C9D543;C9D5U0;C9D670;C9D6A9;D0UTS9;D0UTU3;P00156;Q06T85;Q06TD7;Q06TG3;Q06TR7;Q06TW9;Q06U73;Q06UL6;Q0Z7C9;Q0Z7E2;Q0Z7F5;Q0Z7G8;Q0Z7I1;Q0Z7J4;Q0ZDA1;Q0ZF97;Q0ZFD6;Q0ZFL4;Q0ZK09;Q0ZK87;Q150D3;Q150I3;Q150N3;Q150T3;Q151G4;Q15H01;Q15H14;Q15H53;Q15HD1;Q15HJ6;Q15HK9;Q15IN4;Q1ADG7;Q1ADI0;Q2HJZ5;Q2HK97;Q2HKD8;Q2HLC6;Q2LHI0;Q2LHQ8;Q2XV08;Q305A9;Q305I7;Q305N9;Q306D2;Q34786;Q3S981;Q3S994;Q4EWE8;Q4EWG1;Q4EWK0;Q4EWL3;Q4EX71;Q4EXD6;Q4EY59;Q4EYI9;Q4EYM8;Q4EZ08;Q4EZ60;Q4EZ86;Q4EZ99;Q4EZC5;Q4F061;Q4F0B3;Q4F0F2;Q4F0J1;Q4F1H9;Q4F1P4;Q4F1U6;Q4F224;Q4F250;Q4F2G7;Q4F2K6;Q4F2U7;Q4F2Y6;Q4F2Z9;Q4F325;Q4F3A3;Q4F3E2;Q4F4A4;Q4F4E3;Q4F4I2;Q4F4P7;Q4F553;Q4F5R1;Q4F5S4;Q4F5Y9;Q4G7D5;Q4G8P0;Q4G985;Q4G998;Q4G9L5;Q4G9P1;Q4GA99;Q4GAQ5;Q4GB09;Q4GB22;Q4GBH8;Q4GBL7;Q4GCS0;Q4GDB5;Q4GDF4;Q4GDL9;Q4GE64;Q4GEA3;Q4GEU8;Q4GFM1;Q4GG92;Q4GGB8;Q4GGJ6;Q4GGY9;Q4GHR2;Q4GHW4;Q4GIF9;Q4GJM5;Q4GJV3;Q4GK96;Q4GLU2;Q4GM46;Q4GMZ5;Q4GN21;Q4GN34;Q4GNK3;Q4GP48;Q4GPT2;Q4GQE0;Q4GQN1;Q4GQQ7;Q4GRF4;Q4GS38;Q4GS64;Q4GTI2;Q4GU53;Q4GUR1;Q4GUY9;Q4VFA8;Q4VFD5;Q4VFF9;Q4VFL3;Q4VFQ0;Q4ZEA0;Q4ZEQ6;Q4ZEU5;Q4ZF49;Q4ZF88;Q4ZFC7;Q50HP6;Q5GNC2;Q5MBF0;Q5S8P3;Q5S8Q6;Q5S8X1;Q5S9P4;Q5SA37;Q5SA63;Q5SAF4;Q5SAK6;Q5SAW0;Q5SB90;Q5XRU6;Q5XRY5;Q5XSB5;Q5XSG7;Q5XT25;Q5XT51;Q5XTB6;Q5XTE2;Q5XTI1;Q6PZ07;Q6R112;Q6R701;Q6RKX1;Q6RKY0;Q6RL09;Q6RLD5;Q6RLQ6;Q6RM70;Q6RN86;Q6RNC6;Q6RNH7;Q6RNW0;Q6RQ92;Q6RQJ1;Q6RQR4;Q6RQZ5;Q6RR49;Q6RRC2;Q6VHA3;Q6VHB3;Q6VHF3;Q6VHH3;Q6VHJ3;Q6VHS6;Q6VI47;Q6VI95;Q6VIA4;Q6VIH9;Q6VIL5;Q6VIN3;Q6VIV3;Q6VJ80;Q6VJC0;Q6VK00;Q6VKB6;Q6VLV1;Q6WQ82;Q6XB16;Q6XB24;Q6XB34;Q6XB68;Q7GXV8;Q7HZN7;Q7Y757;Q7Y784;Q7Y7L1;Q7Y7L3;Q7YCC2;Q7YCC5;Q7YCC9;Q7YCE1;Q7YCE7;Q7YCF5;Q7YCF9;Q7YCG2;Q7YCG3;Q7YCG5;Q7YCH0;Q7YCH2;Q7YED9;Q7YEE2;Q7YEF6;Q7YEF8;Q7YEG2;Q7YEH0;Q7YEH1;Q85BA9;Q85BE0;Q85KR8;Q85KS2;Q85KS7;Q85KT0;Q85KT2;Q85KU0;Q85KU1;Q85KU6;Q85KU9;Q85KW3;Q85KW7;Q85KX0;Q85KX2;Q85KX6;Q85KY0;Q85KY2;Q85KZ4;Q85KZ6;Q85L03;Q85PI3;Q8HBR6;Q8HNQ0;Q8HNQ1;Q8HNQ9;Q8HNR4;Q8HNR7;Q8SF05;Q8W7V8;Q8WCV9;Q8WCY2;Q8WCY7;Q8WCY8;Q94QH2;Q9B1A6;Q9B1B6;Q9B1B8;Q9B1D4;Q9B1X6;Q9B2V0;Q9B2V8;Q9B2W0;Q9B2W3;Q9B2W8;Q9B2X1;Q9B2X7;Q9B2X9;Q9B2Y3;Q9B2Z0;Q9B2Z4;Q9G345;Q9MJW3;Q9T6H6;Q9T9Y0;Q9TEH4;Q9TES2
1.38721,2.01744,ENSG00000205981,DNAJC19,Mitochondrial import inner membrane translocase subunit TIM14,B2R4B1;C9JBV1;Q96DA6
1.89283,2.01419,ENSG00000171314,hCG_2015269;PGAM1,Phosphoglycerate mutase;Phosphoglycerate mutase 1,B4DJA4;B4DMJ7;B7Z9E5;B7ZW15;P18669;Q0D2Q6;Q53G35;Q6FHK8;Q6FHU2;Q6P6D7;Q9BWC0
1.76765,2.0127,ENSG00000079257,LXN,Latexin,Q96PN2;Q9BS40;Q9NQS6
0.0889003,2.01165,ENSG00000129083,COPB1,Coatomer subunit beta,P53618;Q6GTT7;Q9NTK2;Q9UNW7
1.81978,2.01165,ENSG00000230989,HSBP1,Heat shock factor-binding protein 1,O75506;Q53XA8;Q7Z5Z3
